case,z,y,x,lung,delta,dc,fab,era
CT00000104,120,0,64,0.595196533203125,-0.7088875281624496,0.028987735509872437,1,1
CT00000104,120,0,128,0.515435791015625,-1.3339766301214695,0.033044613897800446,0,1
CT00000104,120,0,256,0.267144775390625,-0.3850092471111566,0.041815660893917084,0,0
CT00000104,120,64,0,0.479949951171875,-3.432672005146742,0.04852321371436119,1,0
CT00000104,120,64,64,1.0,1.310992636717856,0.15476565062999725,0,1
CT00000104,120,64,128,0.410675048828125,0.35401401692070067,0.04326784610748291,0,2
CT00000104,120,64,256,0.36693115234375,-0.9213950834237039,0.04684394970536232,0,0
CT00000104,120,64,320,0.64161376953125,-2.185678342357278,0.050870392471551895,1,1
CT00000104,120,128,0,0.59202880859375,-3.876558504998684,0.0514933317899704,1,0
CT00000104,120,128,64,0.9770263671875,0.4049362614750862,0.08602346479892731,1,0
CT00000104,120,128,128,0.598333740234375,1.2699960498139262,0.05616094917058945,1,1
CT00000104,120,128,256,0.741436767578125,-0.23106446315068752,0.05672036111354828,0,2
CT00000104,120,128,320,0.730694580078125,-3.457398619502783,0.055616799741983414,0,0
CT00000104,120,192,0,0.29388427734375,-4.715452902019024,0.05041287839412689,1,0
CT00000104,120,192,64,0.995947265625,0.9560834150761366,0.160072922706604,3,0
CT00000104,120,192,128,0.54476318359375,-3.79113107919693,0.0362335704267025,1,1
CT00000104,120,192,192,0.43021240234375,-2.491895342245698,0.036447398364543915,1,0
CT00000104,120,192,256,0.993719482421875,1.303460798226297,0.11439564824104309,0,0
CT00000104,120,192,320,0.419561767578125,-5.150200799107552,0.051770709455013275,1,0
CT00000104,160,0,64,0.358233642578125,-2.22418294288218,0.05147438868880272,2,1
CT00000104,160,0,128,0.370819091796875,-0.5605840124189854,0.03288155794143677,0,0
CT00000104,160,0,256,0.219403076171875,-0.27959959697909653,0.03288336470723152,1,0
CT00000104,160,64,0,0.37366943359375,-3.355712164193392,0.0518975593149662,2,0
CT00000104,160,64,64,0.997406005859375,1.2470113579183817,0.18463581800460815,0,0
CT00000104,160,64,128,0.54864501953125,1.4208682114258409,0.03730782866477966,1,0
CT00000104,160,64,192,0.330548095703125,-0.34475288703106344,0.0415152832865715,0,0
CT00000104,160,64,256,0.97999267578125,0.1363383635180071,0.14221513271331787,1,1
CT00000104,160,64,320,0.386614990234375,-1.983892871066928,0.05039689689874649,1,0
CT00000104,160,128,0,0.518768310546875,-3.75096732750535,0.04741566255688667,0,0
CT00000104,160,128,64,0.999755859375,1.2424300657585263,0.14699935913085938,0,1
CT00000104,160,128,128,0.62659912109375,0.4437534080352634,0.053966473788022995,1,2
CT00000104,160,128,256,0.966143798828125,0.04461951175471768,0.0986202284693718,1,2
CT00000104,160,128,320,0.635955810546875,-1.8358179368078709,0.04628431797027588,0,0
CT00000104,160,192,64,0.94775390625,0.24733087047934532,0.06677364557981491,0,0
